BodyFatPercentage,BMI,DifficultyLevel,ExerciseType,Weight,Height,TDEE
34.17585850450123,43.0049134827217,1,1,99.52563965883763,188.49036275539595,2037.8618464150077
23.86797570271159,6.857391747582655,2,2,57.67115101118013,153.7567411121791,1430.7946453679167
45.52135520991861,31.618441942868493,3,1,86.50521599748257,172.9219754157071,1811.5844725356205
15.759591441968908,40.841293204603595,1,3,95.41200174279909,100.791129048547,1441.9133977460097
21.54902767641192,48.150676967013446,1,3,32.98036136752016,126.49771283737024,973.3024335690568
31.02441075243523,22.047938197521923,1,1,60.38109093274289,116.95464172828405,1195.453926920809
33.72537999946556,44.79664624602704,2,1,90.03905111447656,182.35250970211484,1902.3110153531788
42.88104857578079,40.53700123538655,2,1,50.216511499550336,146.64569440044696,1274.756107038241
36.38687736484031,49.90979341997361,2,1,88.02607044517636,154.20382831334769,1703.1002917571827
31.991935130947724,48.54043756032202,2,1,78.63239234618422,127.1790866456603,1438.0606134948964
46.81181143282364,6.350370534196443,1,1,55.7912897189098,112.3140244645807,1142.766776647447
30.238121271828216,36.76703350284199,3,1,42.53863789211016,164.83725818064275,1311.9763436166966
10.31600000927875,12.25939965717437,1,1,75.14402585894037,179.6298285628454,1760.8280723300336
13.695257857937984,34.69268691646665,2,1,34.06465061729767,106.18386448742862,857.7710470378508
16.91882888154607,30.902093109248195,1,3,74.34547939683031,169.51431493573395,1666.513404051062
35.61876545897711,25.47302556166402,2,1,72.7304458224174,162.22370514174392,1606.6419570921892
37.28871551321144,21.49907605837629,1,1,49.706862889845205,116.71413611199408,1085.5269298081712
12.739502303255062,31.989498413101565,1,3,59.67349673647307,105.92539162014542,1115.3551374526623
19.593637823056582,33.18399680821669,1,3,63.79090615760156,155.4874317398715,1469.6688307482152
25.106189614106942,3.963598077927208,2,1,94.71429515404766,141.76126992883678,1796.0686508365752
13.97360627666569,42.51175218337669,1,1,40.830475263416325,132.24255251516246,1089.0544576926754
41.36750752684472,39.85131986286,3,1,40.412424383972606,151.38345404058788,1205.3879957680147
4.152718089439469,47.82551725632653,2,2,42.146222139950794,141.63390266642315,1160.8346074804501
9.775122279101934,45.82440417512803,3,2,43.144637193188245,120.33912104490487,1037.3426053042642
20.479901627759826,5.065447977433257,3,2,52.61411266642652,100.12944868081173,1036.6178754489536
13.741847017477019,15.090429435106644,1,1,45.98980284244556,107.72774667324161,994.1401978187969
31.451907436937116,17.392022076066752,2,1,52.84095532400217,143.59266212248235,1290.4059404571594
9.442147033532557,30.06401808724763,2,2,99.16196148116659,166.17849188768488,1898.5057400428675
42.768517502236826,4.858745705726708,1,1,54.388531524894276,174.73759924363435,1551.1954122258571
25.656493887527635,18.39503537428976,3,1,61.57535511200633,127.8976916081234,1279.3849049233734
16.785016522385384,20.72178392189304,1,2,72.99705864579977,156.44111982538013,1576.0975314445486
8.218025682029905,43.80319271173804,3,2,38.81937861599121,117.5858355914722,976.5788327071301
9.700544023256263,29.548746889723517,2,2,55.00704334375422,121.37015056709915,1166.165173138781
38.75774488061703,15.701303317687088,2,1,90.0588467403748,122.4414272976798,1539.2571935838116
44.356644380810856,33.91553242035186,3,1,87.26239601108028,126.65570313309152,1525.084659727762
20.62933784453742,7.938685745097814,1,2,72.21514888385286,133.8993272314081,1449.6232943361244
31.005692600760437,26.685312062399927,1,1,96.74380750475991,185.86419885492631,2001.5501260862995
22.732790368839144,29.284323531722997,1,3,52.4776697622705,127.64050101278113,1180.1542450822426
22.75926865843871,15.78059534572843,2,2,88.33767813336776,127.7409106300271,1555.5933615120784
9.331252861970182,49.56588984034654,3,2,48.64743806049534,163.69286503540235,1364.9101087422569
34.61471113702042,33.53667671426135,2,1,53.48335354526391,102.7221747183615,1032.3077424323787
14.995760503577237,36.80968287678746,1,3,46.07144166154296,169.88624692858738,1379.591182227266
45.10255651843503,23.343877484959723,2,1,82.7394219216851,127.85899482577251,1491.6189381926754
12.353103310008299,40.54805088901227,2,3,88.07207121802452,100.71574993664619,1367.4861107199285
21.502446027003113,32.854354320579446,3,3,31.446269301615995,151.62894628919943,1116.9812864051003
49.80202796928954,25.103187733441434,3,1,31.215701294571215,117.22749037113766,899.6878897057082
45.29166484681672,5.283846737013271,2,1,30.909254806314344,164.31354895834562,1218.092076823219
19.273550015548924,26.342319821924953,3,3,60.80392496150298,123.75377419166495,1241.0220448932218
22.057628204347957,5.1045092341831335,1,2,59.52992732634642,163.3107764989609,1529.4771853297875
18.862157374759242,8.427179968306167,2,2,86.46762826608406,108.75804987801078,1431.6113959202448
7.288026423905512,35.66070578524331,1,2,73.49230978818174,107.97464033588679,1267.1820132020937
38.40181649139468,21.22406454941104,2,1,84.10479533814461,197.17343271432378,1949.426606880802
11.656827347537526,23.530614895305852,1,2,54.44015173343794,154.05305458160043,1369.1136191767257
29.719676013918612,28.78451028493005,1,1,79.73970448410387,128.82420684742397,1464.4440923132795
22.29825966173607,35.39474326590794,3,3,70.61404703688626,143.60643667043556,1463.2307350899387
13.225403268817114,27.828931399026743,1,1,30.442107779570538,106.79704483682771,825.7967893520746
37.23402537209089,15.981783089867552,2,1,46.7217142418655,164.01687935205865,1358.3057313794375
18.03568299694639,9.110252295546232,2,2,48.24378635324577,146.66858552549866,1275.006211867518
17.34443714779044,3.9588345362332436,2,1,73.91724016348138,140.3163147910937,1553.479740718749
21.22347645595462,43.14850178077919,1,3,88.8031470523144,190.82385500629096,1943.7716012027722
32.13319424164167,10.101109260463396,2,1,53.89828678870752,144.62602095221604,1318.6190590052374
40.54256715283461,43.00714688643836,1,1,98.88065422663891,157.67555212956867,1836.362829000553
45.829123727542324,10.647797559135899,3,1,99.1870800535087,187.42242450338807,2071.4572862085465
44.98463660822321,16.36977686720053,1,1,91.81100700608069,103.63442954447066,1435.199946285432
